userName,score,at,content
Ahmad Sajidin (Abi Fatih),5,2024-06-16 05:27:12,"Bermanfaat, utk ekstrak data zip/rar"
Yanuarius Tahu seran,5,2024-06-13 12:18:28,bagus
Alif Zaim,5,2024-06-08 14:08:53,Apk ini cocok untuk install mod mcpe
Bangun Kesiangan,5,2024-06-05 02:43:39,Gratis dan fungsional
Ade Firman Santoni,5,2024-06-04 12:43:29,"Simple, sangat berguna, mantap pokoknya"
Asteen Retno Mukti,5,2024-05-31 22:55:43,Nice
Chadzikul Fikri,5,2024-05-29 12:51:53,👍👍👍👍👍
Laurensius Leba,3,2024-05-29 10:27:53,Sangat membantu membuka file yg besar dgn satuan yg diperlukan dgn cepat.
edi purnomo,5,2024-05-25 09:03:54,Jos
Copet Nempel,5,2024-05-23 13:41:29,Good
HEINRICH HIMMLER,5,2024-05-20 11:41:58,Bagus
Syarifuddin Daeng Rate,5,2024-05-19 17:23:07,Sangat membantu
Welem Dimulaga,5,2024-05-17 03:37:37,"Aman dan tercepat,lancar dan mudah .."
Realme C30shitam,5,2024-05-17 00:24:02,Masih coba dulu tar nya
Ferry Noppriadi,5,2024-05-16 06:12:40,Baik ⭐⭐⭐⭐⭐
DANS86,5,2024-05-16 05:37:15,Memang terbaik mau di Desktop atau di HP kalo saya wajib ini aplikasi
Osa Osa,5,2024-05-15 23:48:40,Bagus
ad karinaa,5,2024-05-15 13:35:18,"Aplikasi bagus, untuk menyimpan file berukuran besar"
Mardi,5,2024-05-14 07:56:31,Excellent
Berlian Faizah,1,2024-05-13 13:33:34,Bayar apa tidak aplikasi ini ?
Natalino Silva,5,2024-05-12 23:45:31,Mantap....
nurul anam,5,2024-05-12 10:27:38,Mantul
Billy Billy,5,2024-05-12 02:18:29,Aplikasi yang sangat membantu
Irwan Noeralamsyah95,5,2024-05-11 20:16:49,mantapp
Eno Putra,4,2024-05-08 23:43:30,Kenapa opsi Rar 4.x di remove? Saya sama sekali tidak mengerti dengan downgrade ini
Amran San,5,2024-05-07 23:36:31,Kenapa tidak bisa saya update ?
Fathur mawan,5,2024-05-04 05:16:48,Very good
DerryL,5,2024-04-28 14:44:02,Awesome
Dedi Iskandar,5,2024-04-26 09:22:46,Okelah mantap
Anditappu Anditappu,5,2024-04-24 14:29:02,Bagus
End Line,5,2024-04-24 07:26:58,"Ukuran nya boleh kecil tapi soal convert banyak gunanya. Saya sudah menggunakan aplikasi ini selama hampir 2,5 tahun dan tidak ada masalah. Terimakasih developer udah buat in aplikasi ini👍"
AtanGombung Gombung.gamil.com.,5,2024-04-16 02:26:39,Iss mantap banget dah ni aplikasi gua suka bnget kalok ada file2 besar itu mudah di hapus/di download super cepat enak dah pokoknya di banding zachirver buruan download broo👍
Saeful Bahri 1968,5,2024-04-15 13:07:48,Mantaap
Rachmat ThePUBLIC,5,2024-04-15 12:00:45,Mantul
Ersyad Prayoga L,5,2024-04-12 22:12:42,mantap 👍
Arwira Einstein,5,2024-04-08 01:50:06,Mantap!!!
M Toha,5,2024-04-07 14:07:54,Simple tool for archive
Asri Rohayati,1,2024-04-07 06:04:28,Pembohong kau pembohong Apk nya tetep nggak bisa dibuka jir 😭😭
Edgar XYZ,5,2024-04-06 19:40:38,Rawr
Wulan Lestari,5,2024-04-05 08:09:41,Sangat membantu
Alan Reza,5,2024-04-03 09:42:50,bagus untuk download GTA San
Yeni Kurniawati,5,2024-04-03 09:14:10,Knp GK bisa di buka apknya min
Teguh,5,2024-04-02 22:15:33,Oke
Yady frons Susanto,5,2024-04-02 04:32:09,Oke
Oyen Barbar,5,2024-03-31 21:04:28,very useful
dian sm,3,2024-03-31 00:23:32,"Tidak ad iklan, size kecil, tidak ribet, menu apk lumayan lengkap, cukup baik untuk digunakan, namun ada kelemahan dalam segi keamanan tak masalah cos size hanya beberapa mb sj"
Moh. Alwin Ni'am,5,2024-03-26 21:25:24,ok.... mantap
Dafa Dafa,5,2024-03-24 23:48:12,"Enak dan nyaman, tapi gk bisa di buka apk nya🗿"
Bajingaan Kepaarat,4,2024-03-23 01:10:26,Aplikasi yang berguna dan bermanfaat untuk keperluan Pengkompres File jenis apa pun dalam jumlah yang banyak dan Mengekstrak nya.
